Timestamp,Suction_Pressure_Stage1_kgcm2,Suction_Temp_Stage1_C,Discharge_Pressure_Stage1_kgcm2,Discharge_Temp_Stage1_C,Suction_Pressure_Stage2_kgcm2,Suction_Temp_Stage2_C,Discharge_Pressure_Stage2_kgcm2,Discharge_Temp_Stage2_C,Vibration_mms,RPM,Seal_Gas_Pressure_kgcm2,Lube_Oil_Pressure_kgcm2,Lube_Oil_Temp_C,Anti_Surge_Valve_pct
2026-09-01 18:45,1.19 kg,35.29 C,7.0 kg,89.78 C,7.0 kg,38.02 C,14.95 kg,79.7 C,0.34,4021.0,0.27 kg,4.88 kg,50.0 C,0.0
2026-09-01 19:00,1.19 kg,35.22 C,6.99 kg,89.77 C,7.0 kg,37.98 C,14.96 kg,79.69 C,0.33,4021.0,0.28 kg,4.89 kg,50.0 C,1.6
2026-09-01 19:15,1.19 kg,35.23 C,6.99 kg,89.83 C,7.0 kg,37.95 C,14.95 kg,79.74 C,0.34,4021.0,0.29 kg,4.89 kg,49.9 C,0.9
2026-09-01 19:30,1.19 kg,35.24 C,7.0 kg,89.87 C,6.99 kg,37.93 C,14.93 kg,79.72 C,0.33,4019.0,0.29 kg,4.9 kg,49.9 C,1.2
2026-09-01 19:45,1.19 kg,35.19 C,6.99 kg,89.81 C,6.99 kg,37.97 C,14.94 kg,79.8 C,0.33,4020.0,0.29 kg,4.89 kg,49.9 C,0.9
2026-09-01 20:00,1.19 kg,35.17 C,6.99 kg,89.83 C,6.99 kg,37.95 C,14.95 kg,79.82 C,0.33,4020.0,0.29 kg,4.89 kg,49.9 C,0.0
2026-09-01 20:15,1.19 kg,35.16 C,6.99 kg,89.93 C,6.99 kg,37.97 C,14.96 kg,79.82 C,0.33,4021.0,0.29 kg,4.9 kg,49.9 C,2.7
2026-09-01 20:30,1.19 kg,35.2 C,6.99 kg,89.89 C,6.99 kg,38.0 C,14.98 kg,79.84 C,0.33,4021.0,0.29 kg,4.88 kg,49.9 C,0.2
2026-09-01 20:30,1.19 kg,35.2 C,6.99 kg,89.88 C,6.99 kg,38.01 C,14.99 kg,79.92 C,0.33,4018.0,0.29 kg,4.89 kg,49.9 C,0.2
2026-09-01 20:45,1.19 kg,35.2 C,6.99 kg,89.96 C,6.99 kg,38.0 C,14.99 kg,79.9 C,0.33,4018.0,0.28 kg,4.89 kg,49.9 C,0.0
2026-09-01 21:00,1.18 kg,35.18 C,6.99 kg,89.98 C,6.99 kg,37.99 C,14.99 kg,80.0 C,0.33,4020.0,0.28 kg,4.88 kg,49.9 C,0.0
2026-09-01 21:15,1.18 kg,35.22 C,7.0 kg,89.98 C,6.99 kg,38.01 C,14.99 kg,79.96 C,0.34,4020.0,0.28 kg,4.91 kg,49.9 C,2.6
2026-09-01 21:30,1.18 kg,35.24 C,7.0 kg,90.08 C,6.99 kg,38.03 C,14.99 kg,79.92 C,0.34,4019.0,0.28 kg,4.9 kg,50.0 C,1.3
2026-09-01 21:45,1.18 kg,35.2 C,6.99 kg,90.06 C,7.0 kg,38.03 C,14.98 kg,79.92 C,0.35,4017.0,0.28 kg,4.89 kg,50.0 C,1.6
2026-09-01 22:00,1.18 kg,35.22 C,6.99 kg,90.17 C,7.01 kg,37.98 C,14.98 kg,79.87 C,0.35,4016.0,0.28 kg,4.91 kg,50.1 C,1.4
2026-09-01 22:15,1.19 kg,35.25 C,6.99 kg,90.16 C,7.01 kg,37.99 C,14.98 kg,79.88 C,0.35,4016.0,0.28 kg,4.9 kg,50.0 C,1.5
2026-09-01 22:30,1.19 kg,35.26 C,6.99 kg,90.15 C,7.0 kg,38.0 C,14.97 kg,79.9 C,0.34,4014.0,0.29 kg,4.89 kg,50.0 C,3.8
2026-09-01 22:45,1.19 kg,35.29 C,6.99 kg,90.1 C,7.0 kg,37.99 C,14.97 kg,79.94 C,0.34,4016.0,0.29 kg,4.9 kg,50.0 C,4.1
2026-09-01 23:00,1.19 kg,35.31 C,6.99 kg,90.08 C,7.0 kg,37.98 C,14.98 kg,79.88 C,0.34,4016.0,0.28 kg,4.9 kg,50.1 C,0.9
2026-09-01 23:15,1.19 kg,35.26 C,6.99 kg,90.01 C,7.0 kg,37.99 C,14.99 kg,79.97 C,0.33,4016.0,0.28 kg,4.91 kg,50.1 C,0.0
2026-09-01 23:30,1.19 kg,35.24 C,6.99 kg,89.99 C,7.0 kg,37.98 C,14.99 kg,80.0 C,0.34,4018.0,0.28 kg,4.91 kg,50.1 C,4.1
2026-09-01 23:45,1.19 kg,35.25 C,6.99 kg,89.97 C,6.99 kg,37.95 C,15.0 kg,80.02 C,0.34,4019.0,0.28 kg,4.93 kg,50.1 C,1.7
2026-09-02 00:00,1.19 kg,35.24 C,6.99 kg,89.94 C,6.99 kg,37.95 C,15.01 kg,80.01 C,0.34,4019.0,0.28 kg,4.94 kg,50.1 C,2.0
2026-09-02 00:15,1.19 kg,35.22 C,6.99 kg,89.92 C,6.99 kg,37.96 C,15.02 kg,80.09 C,0.34,4020.0,0.28 kg,4.94 kg,50.1 C,3.0
2026-09-02 00:30,1.19 kg,35.18 C,7.0 kg,89.86 C,6.98 kg,37.96 C,15.03 kg,80.08 C,0.34,4020.0,0.28 kg,4.94 kg,50.1 C,0.4
2026-09-02 00:45,1.2 kg,35.14 C,7.0 kg,89.83 C,6.98 kg,37.98 C,15.02 kg,80.07 C,0.33,4020.0,0.28 kg,4.93 kg,50.1 C,1.8
2026-09-02 01:00,1.2 kg,35.08 C,7.0 kg,89.82 C,6.98 kg,37.96 C,15.03 kg,80.02 C,0.33,4018.0,0.28 kg,4.91 kg,50.1 C,4.2
2026-09-02 01:15,1.2 kg,35.08 C,7.0 kg,89.82 C,6.98 kg,37.93 C,15.02 kg,79.97 C,0.33,4019.0,0.28 kg,4.92 kg,50.1 C,1.1
2026-09-02 01:30,1.2 kg,35.07 C,7.0 kg,89.89 C,6.98 kg,37.92 C,15.02 kg,80.0 C,0.33,4020.0,0.28 kg,4.9 kg,50.1 C,2.2
2026-09-02 01:45,1.2 kg,35.03 C,7.01 kg,89.88 C,6.99 kg,38.0 C,15.02 kg,79.97 C,0.34,4020.0,0.27 kg,4.91 kg,50.1 C,2.5
2026-09-02 02:00,1.19 kg,35.05 C,7.01 kg,89.8 C,6.98 kg,37.97 C,15.01 kg,80.05 C,0.33,4019.0,0.28 kg,4.92 kg,50.2 C,0.8
2026-09-02 02:15,1.2 kg,35.02 C,7.01 kg,89.91 C,6.98 kg,38.0 C,15.02 kg,80.08 C,0.33,4019.0,0.28 kg,4.91 kg,50.2 C,2.8
2026-09-02 02:30,1.2 kg,34.97 C,7.02 kg,89.85 C,6.98 kg,38.02 C,15.01 kg,80.04 C,0.33,4018.0,0.28 kg,4.91 kg,50.1 C,0.7
2026-09-02 02:45,1.2 kg,34.93 C,7.01 kg,89.86 C,6.97 kg,37.97 C,15.03 kg,80.02 C,0.34,4018.0,0.27 kg,4.9 kg,50.2 C,0.0
2026-09-02 03:00,1.19 kg,34.9 C,7.01 kg,89.88 C,6.97 kg,37.99 C,15.04 kg,80.05 C,0.33,4020.0,0.27 kg,4.91 kg,50.2 C,5.2
2026-09-02 03:15,1.2 kg,34.91 C,7.0 kg,89.85 C,6.98 kg,37.99 C,15.04 kg,80.08 C,0.33,4021.0,0.28 kg,4.9 kg,50.2 C,2.2
2026-09-02 03:30,1.2 kg,34.88 C,6.99 kg,89.66 C,6.98 kg,38.02 C,15.04 kg,80.08 C,0.33,4022.0,0.27 kg,4.9 kg,50.2 C,14.7
2026-09-02 03:45,1.19 kg,34.89 C,7.0 kg,89.58 C,6.98 kg,38.0 C,15.05 kg,80.12 C,0.33,4023.0,0.27 kg,4.9 kg,50.2 C,4.2
2026-09-02 04:00,1.19 kg,34.89 C,7.0 kg,89.58 C,6.97 kg,38.03 C,15.03 kg,80.07 C,0.33,4024.0,0.27 kg,4.89 kg,50.2 C,4.3
2026-09-02 04:15,1.2 kg,34.93 C,7.0 kg,89.58 C,6.98 kg,38.04 C,15.03 kg,80.06 C,0.33,4024.0,0.28 kg,4.91 kg,50.2 C,2.5
2026-09-02 04:30,1.2 kg,34.93 C,7.01 kg,89.74 C,6.98 kg,38.07 C,15.04 kg,79.99 C,0.33,4024.0,0.28 kg,4.9 kg,50.3 C,1.6
2026-09-02 04:45,1.2 kg,34.9 C,7.0 kg,89.74 C,6.97 kg,38.13 C,15.05 kg,80.04 C,0.33,4023.0,0.28 kg,4.9 kg,50.2 C,1.9
2026-09-02 05:00,1.2 kg,34.82 C,7.02 kg,89.66 C,6.97 kg,38.14 C,15.05 kg,80.03 C,0.33,4023.0,0.28 kg,4.9 kg,50.2 C,0.0
2026-09-02 05:15,1.2 kg,34.82 C,7.0 kg,89.76 C,6.97 kg,38.15 C,15.05 kg,80.1 C,0.33,4025.0,0.28 kg,4.91 kg,50.2 C,0.7
2026-09-02 05:30,1.2 kg,34.84 C,7.0 kg,89.72 C,6.97 kg,38.21 C,15.04 kg,80.07 C,0.33,4026.0,0.28 kg,4.9 kg,50.2 C,0.0
2026-09-02 05:45,1.2 kg,34.84 C,7.0 kg,89.68 C,6.98 kg,38.16 C,15.04 kg,80.01 C,0.34,4026.0,0.27 kg,4.91 kg,50.2 C,3.2
2026-09-02 06:00,1.21 kg,34.84 C,7.0 kg,89.62 C,6.98 kg,38.19 C,15.04 kg,80.03 C,0.33,4025.0,0.27 kg,4.91 kg,50.2 C,3.7
2026-09-02 06:15,1.21 kg,34.85 C,7.0 kg,89.73 C,6.98 kg,38.16 C,15.03 kg,80.01 C,0.32,4024.0,0.27 kg,4.92 kg,50.2 C,0.0
2026-09-02 06:30,1.21 kg,34.84 C,7.0 kg,89.64 C,6.99 kg,38.19 C,15.03 kg,80.06 C,0.33,4025.0,0.27 kg,4.92 kg,50.2 C,0.0
2026-09-02 06:45,1.21 kg,34.86 C,6.99 kg,89.64 C,6.98 kg,38.15 C,15.02 kg,80.12 C,0.32,4025.0,0.26 kg,4.9 kg,50.2 C,1.1
2026-09-02 07:00,1.21 kg,34.83 C,6.99 kg,89.63 C,6.98 kg,38.07 C,15.01 kg,80.11 C,0.32,4024.0,0.26 kg,4.9 kg,50.2 C,2.1
2026-09-02 07:15,1.21 kg,34.83 C,6.99 kg,89.65 C,6.98 kg,38.08 C,15.01 kg,80.19 C,0.32,4024.0,0.26 kg,4.91 kg,50.2 C,1.8
2026-09-02 07:30,1.22 kg,34.81 C,6.98 kg,89.67 C,6.99 kg,38.04 C,15.02 kg,80.28 C,0.31,4023.0,0.26 kg,4.91 kg,50.2 C,2.2
2026-09-02 07:45,1.22 kg,34.84 C,6.98 kg,89.6 C,6.99 kg,38.04 C,15.02 kg,80.26 C,0.32,4025.0,0.26 kg,4.91 kg,50.2 C,3.9
2026-09-02 08:00,1.21 kg,34.89 C,6.98 kg,89.62 C,6.98 kg,38.01 C,15.02 kg,80.25 C,0.31,4025.0,0.26 kg,4.92 kg,50.1 C,2.8
2026-09-02 08:15,1.21 kg,34.93 C,6.99 kg,89.71 C,6.99 kg,37.97 C,15.02 kg,80.21 C,0.3,4027.0,0.25 kg,4.95 kg,50.0 C,0.5
2026-09-02 08:30,1.21 kg,34.92 C,6.99 kg,89.74 C,6.98 kg,37.96 C,15.02 kg,80.15 C,0.3,4027.0,0.25 kg,4.95 kg,50.0 C,0.0
2026-09-02 08:45,1.21 kg,34.92 C,6.99 kg,89.84 C,6.98 kg,37.96 C,15.01 kg,80.12 C,0.3,4027.0,0.25 kg,4.97 kg,50.0 C,0.8
2026-09-02 09:00,1.21 kg,34.94 C,6.99 kg,89.82 C,6.98 kg,37.91 C,15.02 kg,80.14 C,0.3,4027.0,0.24 kg,4.95 kg,50.0 C,2.1
2026-09-02 09:15,1.21 kg,34.93 C,6.99 kg,89.79 C,6.99 kg,37.92 C,15.02 kg,80.15 C,0.29,4028.0,0.24 kg,4.92 kg,50.0 C,1.4
2026-09-02 09:30,1.2 kg,34.89 C,6.99 kg,89.87 C,6.99 kg,37.93 C,15.04 kg,80.23 C,0.29,4029.0,0.24 kg,4.93 kg,50.0 C,0.0
2026-09-02 09:45,1.21 kg,34.9 C,7.0 kg,89.92 C,7.0 kg,37.94 C,15.02 kg,80.23 C,0.29,4027.0,0.25 kg,4.93 kg,50.0 C,2.0
2026-09-02 10:00,1.21 kg,34.89 C,7.0 kg,89.91 C,7.0 kg,37.94 C,15.01 kg,80.27 C,0.29,4028.0,0.24 kg,4.94 kg,50.0 C,0.0
2026-09-02 10:15,1.21 kg,34.85 C,7.0 kg,89.89 C,7.0 kg,37.98 C,15.0 kg,80.26 C,0.3,4028.0,0.24 kg,4.94 kg,50.0 C,2.9
2026-09-02 10:30,1.21 kg,34.86 C,7.0 kg,89.87 C,7.0 kg,38.01 C,14.99 kg,80.28 C,0.3,4027.0,0.24 kg,4.94 kg,50.0 C,1.5
2026-09-02 10:45,1.21 kg,34.85 C,7.0 kg,89.95 C,7.0 kg,38.05 C,15.0 kg,80.25 C,0.3,4026.0,0.24 kg,4.95 kg,50.0 C,3.0
2026-09-02 11:00,1.21 kg,34.81 C,7.0 kg,90.04 C,7.01 kg,38.08 C,15.0 kg,80.2 C,0.3,4028.0,0.25 kg,4.95 kg,50.0 C,5.2
2026-09-02 11:15,1.21 kg,34.8 C,6.99 kg,90.05 C,7.01 kg,38.1 C,15.0 kg,80.09 C,0.29,4028.0,0.25 kg,4.93 kg,50.0 C,1.1
2026-09-02 11:30,1.21 kg,34.84 C,6.99 kg,90.02 C,7.02 kg,38.1 C,15.0 kg,80.06 C,0.3,4027.0,0.25 kg,4.94 kg,50.0 C,2.9
2026-09-02 11:45,1.21 kg,34.87 C,6.98 kg,90.11 C,7.02 kg,38.16 C,14.99 kg,79.99 C,0.29,4028.0,0.25 kg,4.94 kg,50.0 C,2.2
2026-09-02 12:00,1.21 kg,34.89 C,6.98 kg,90.15 C,7.02 kg,38.16 C,14.99 kg,80.09 C,0.29,4028.0,0.25 kg,4.96 kg,50.0 C,1.6
2026-09-02 12:15,1.21 kg,34.89 C,6.99 kg,90.2 C,7.02 kg,38.14 C,14.98 kg,80.11 C,0.29,4028.0,0.25 kg,4.94 kg,49.9 C,3.4
2026-09-02 12:30,1.21 kg,34.89 C,6.99 kg,90.21 C,7.03 kg,38.09 C,14.99 kg,80.06 C,0.28,4029.0,0.24 kg,4.95 kg,50.0 C,1.3
2026-09-02 12:45,1.22 kg,34.89 C,6.99 kg,90.23 C,7.02 kg,38.08 C,15.0 kg,80.12 C,0.28,4029.0,0.25 kg,4.94 kg,50.1 C,4.0
2026-09-02 13:00,1.22 kg,34.89 C,6.99 kg,90.21 C,7.02 kg,38.11 C,15.01 kg,80.23 C,0.28,4030.0,0.24 kg,4.94 kg,50.0 C,0.0
2026-09-02 13:15,1.21 kg,34.86 C,7.0 kg,90.18 C,7.03 kg,38.12 C,15.03 kg,80.23 C,0.29,4031.0,0.25 kg,4.96 kg,50.0 C,0.0
2026-09-02 13:30,1.21 kg,34.9 C,7.0 kg,90.11 C,7.03 kg,38.07 C,15.03 kg,80.2 C,0.29,4031.0,0.24 kg,4.96 kg,50.0 C,0.0
2026-09-02 13:45,1.21 kg,34.87 C,7.01 kg,90.1 C,7.03 kg,38.06 C,15.02 kg,80.24 C,0.29,4031.0,0.24 kg,4.96 kg,50.1 C,1.7
2026-09-02 14:00,1.21 kg,34.92 C,7.0 kg,90.1 C,7.02 kg,38.1 C,15.01 kg,80.33 C,0.29,4030.0,0.23 kg,4.96 kg,50.0 C,0.0
2026-09-02 14:15,1.21 kg,34.85 C,7.01 kg,90.06 C,7.03 kg,38.13 C,15.01 kg,80.35 C,0.29,4029.0,0.24 kg,4.96 kg,50.1 C,14.0
2026-09-02 14:30,1.21 kg,34.83 C,7.0 kg,90.07 C,7.02 kg,38.12 C,15.0 kg,80.35 C,0.29,4030.0,0.24 kg,4.95 kg,50.0 C,0.4
2026-09-02 14:45,1.21 kg,34.83 C,7.01 kg,90.07 C,7.02 kg,38.11 C,15.01 kg,80.34 C,0.29,4028.0,0.24 kg,4.95 kg,50.0 C,2.3
2026-09-02 15:00,1.21 kg,34.85 C,7.01 kg,90.04 C,7.02 kg,38.15 C,15.01 kg,80.36 C,0.29,4026.0,0.23 kg,4.97 kg,50.0 C,2.2
2026-09-02 15:15,1.21 kg,34.88 C,7.0 kg,90.1 C,7.01 kg,38.18 C,15.0 kg,80.39 C,0.29,4026.0,0.23 kg,4.98 kg,50.0 C,3.7
2026-09-02 15:30,1.21 kg,34.86 C,7.0 kg,90.03 C,7.01 kg,38.15 C,15.01 kg,80.38 C,0.29,4025.0,0.22 kg,4.98 kg,50.0 C,3.3
2026-09-02 15:45,1.21 kg,34.89 C,7.01 kg,89.96 C,7.01 kg,38.04 C,15.0 kg,80.36 C,0.29,4022.0,0.23 kg,4.97 kg,50.0 C,2.6
2026-09-02 16:00,1.21 kg,34.91 C,7.02 kg,90.03 C,7.01 kg,38.01 C,15.0 kg,80.42 C,0.29,4023.0,0.23 kg,4.97 kg,50.0 C,0.0
2026-09-02 16:15,1.21 kg,34.9 C,7.01 kg,90.0 C,7.01 kg,38.03 C,15.01 kg,80.38 C,0.29,4022.0,0.23 kg,4.95 kg,50.0 C,0.0
